Trial,IsContained,Direction,Goal,PGreen,PRed,PTimeUp,AvgBounces,AvgTime
porous_4_b,contained,reverse,G,0.9972,0.0006,0.0022,7.201,8.1906
porous_4_b,contained,none,G,0.9958,0.0002,0.004,6.1876,6.86323
stopper_3_a,contained,forward,G,0.9382,0.0,0.0618,9.9016,7.97886
stopper_3_a,contained,reverse,G,0.8144,0.0,0.1856,22.8452,19.43647
stopper_3_a,contained,none,G,0.8016,0.0,0.1984,22.3056,19.47253
complex_2_b,contained,forward,G,0.956,0.0,0.044,20.5482,9.44571
complex_2_b,contained,reverse,G,0.8682,0.0,0.1318,53.7648,20.3328
complex_2_b,contained,none,G,0.8856,0.0,0.1144,42.1042,17.15255
size_5_a,contained,forward,G,0.9996,0.0002,0.0002,4.7192,2.19055
size_5_a,contained,reverse,G,0.9878,0.0042,0.008,28.3326,8.11964
size_5_a,contained,none,G,0.9906,0.0082,0.0012,20.673,6.18278
stopper_2_b,contained,forward,G,0.9996,0.0,0.0004,2.191,2.47779
stopper_2_b,contained,reverse,G,0.9986,0.0,0.0014,9.1282,6.61092
stopper_2_b,contained,none,G,0.9988,0.0,0.0012,7.7956,5.91829
stopper_3_c,contained,forward,G,0.7046,0.2014,0.094,12.9638,11.76836
stopper_3_c,contained,reverse,G,0.6008,0.1688,0.2304,24.7608,22.01694
stopper_3_c,contained,none,G,0.5858,0.1726,0.2416,24.2076,21.93676
size_4_b,contained,forward,G,0.999,0.0002,0.0008,8.3432,4.69002
size_4_b,contained,reverse,G,0.9954,0.0002,0.0044,22.6314,10.36633
size_4_b,contained,none,G,0.9976,0.0,0.0024,14.7944,7.26434
complex_2_c,contained,forward,G,0.8536,0.0,0.1464,35.735,13.05068
complex_2_c,contained,reverse,G,0.7604,0.0,0.2396,65.3698,22.84238
complex_2_c,contained,none,G,0.7798,0.0,0.2202,56.5034,20.00361
complex_1_c,contained,forward,G,0.6472,0.0,0.3528,41.5148,23.33788
complex_1_c,contained,reverse,G,0.6448,0.0,0.3552,39.763,23.47636
complex_1_c,contained,none,G,0.6112,0.0,0.3888,43.186,24.49865
size_5_c,contained,forward,G,0.985,0.0,0.015,7.5952,6.76997
size_5_c,contained,reverse,G,0.9592,0.0,0.0408,17.9534,14.24818
size_5_c,contained,none,G,0.9656,0.0,0.0344,16.391,12.52632
porous_1_a,contained,forward,G,0.9992,0.0008,2.28766658394e-17,1.487,2.03706
porous_1_a,contained,reverse,G,0.9976,0.0018,0.0006,6.985,3.98354
porous_1_a,contained,none,G,1.0,0.0,0.0,9.7086,4.88697
stopper_4_b,contained,forward,G,0.9966,0.0,0.0034,2.6538,2.55531
stopper_4_b,contained,reverse,G,0.9908,0.0002,0.009,8.3924,5.93671
stopper_4_b,contained,none,G,0.985,0.0,0.015,13.0336,8.60342
regular_25,regular,forward,R,0.6324,0.3676,5.55111512313e-17,3.6114,4.83095
regular_25,regular,none,R,0.6284,0.3714,0.0002,3.0812,3.38465
regular_42,regular,forward,G,0.6166,0.3834,-5.55111512313e-17,4.2962,4.16568
regular_42,regular,none,G,0.562,0.438,-5.55111512313e-17,1.4356,1.75231
regular_94,regular,forward,G,0.4458,0.5542,0.0,3.7772,4.07873
regular_94,regular,none,G,0.2674,0.7326,-1.11022302463e-16,3.8224,2.23352
regular_69,regular,forward,G,0.6458,0.3502,0.004,9.3356,8.86724
regular_69,regular,none,G,0.4978,0.4984,0.0038,6.0098,6.4602
regular_8,regular,forward,R,0.4376,0.5596,0.0028,5.1922,6.99137
regular_8,regular,none,R,0.3382,0.6598,0.002,4.689,6.11674
regular_88,regular,forward,G,0.286,0.712,0.002,7.3444,5.39852
regular_88,regular,none,G,0.1264,0.8658,0.0078,14.5796,7.72555
regular_83,regular,forward,G,0.226,0.7678,0.0062,11.0482,9.40828
regular_83,regular,none,G,0.3862,0.6088,0.005,11.666,8.89371
regular_3,regular,forward,R,0.1664,0.8332,0.0004,3.348,4.09588
regular_3,regular,none,R,0.0668,0.933,0.0002,1.6038,2.10042
