Trial,Time,PRed,PGreen
RTr_Bl4_10,1.6,0.649467111,0.350532949
RTr_Bl4_10,1.7,0.666862309,0.333137721
RTr_Bl4_10,1.8,0.68605274,0.31394729
RTr_Bl4_10,1.9,0.661264002,0.338735998
RTr_Bl4_10,2,0.639814913,0.360185117
RTr_Bl4_10,2.1,0.626340389,0.373659581
RTr_Bl4_10,2.2,0.627488613,0.372511327
RTr_Bl4_10,2.3,0.613454461,0.386545599
RTr_Bl4_10,2.4,0.625866055,0.374133974
RTr_Bl4_10,2.5,0.631934822,0.368065178
RTr_Bl4_10,2.6,0.629858971,0.37014097
RTr_Bl4_10,2.7,0.652896225,0.347103775
RTr_Bl4_10,2.8,0.647472858,0.352527112
RTr_Bl4_10,2.9,0.665665746,0.334334284
RTr_Bl4_10,3,0.670040667,0.329959244
RTr_Bl4_10,3.1,0.664250493,0.335749567
RTr_Bl4_10,3.2,0.681231558,0.318768382
RTr_Bl4_10,3.3,0.665321529,0.334678441
RTr_Bl4_10,3.4,0.681645811,0.318354189
RTr_Bl4_10,3.5,0.689417422,0.310582548
RTr_Bl4_10,3.6,0.703684211,0.296315849
RTr_Bl4_10,3.7,0.727596283,0.272403747
RTr_Bl4_10,3.8,0.733152628,0.266847283
RTr_Bl4_10,3.9,0.704609215,0.295390755
RTr_Bl4_10,4,0.736097932,0.263902098
RTr_Bl4_10,4.1,0.720110178,0.279889852
RTr_Bl4_10,4.2,0.74423337,0.2557666
RTr_Bl4_10,4.3,0.738077581,0.261922419
RTr_Bl4_10,4.4,0.721995294,0.278004616
RTr_Bl4_10,4.5,0.683295667,0.316704303
RTr_Bl4_10,4.6,0.678654373,0.321345657
RTr_Bl4_10,4.7,0.676685989,0.323314071
RTr_Bl4_10,4.8,0.666642666,0.333357334
RTr_Bl4_10,4.9,0.662342846,0.337657183
RTr_Bl4_10,5,0.635659635,0.364340365
RTr_Bl4_10,5.1,0.598769665,0.401230335
RTr_Bl4_10,5.2,0.628832638,0.371167362
RTr_Bl4_10,5.3,0.648331702,0.351668328
RTr_Bl4_10,5.4,0.662565112,0.337434977
RTr_Bl4_10,5.5,0.67233789,0.32766211
RTr_Bl4_10,5.6,0.678479791,0.321520239
RTr_Bl4_10,5.7,0.656216443,0.343783587
RTr_Bl4_10,5.8,0.707893074,0.292106956
RTr_Bl4_10,5.9,0.731611788,0.268388182
RTr_Bl4_10,6,0.744579315,0.255420625
RTr_Bl4_10,6.1,0.724989474,0.275010526
RTr_Bl4_10,6.2,0.733240306,0.266759694
RTr_Bl4_10,6.3,0.718981445,0.281018555
RTr_Bl4_10,6.4,0.709605813,0.290394217
RTr_Bl4_10,6.5,0.699884236,0.300115764
RTr_Bl4_10,6.6,0.68175143,0.31824857
RTr_Bl4_10,6.7,0.682949901,0.317050099
RTr_Bl4_10,6.8,0.660361946,0.339638114
RTr_Bl4_10,6.9,0.646222711,0.353777289
RTr_Bl4_10,7,0.631280124,0.368719876
RTr_Bl4_10,7.1,0.623155415,0.376844525
RTr_Bl4_10,7.2,0.632203281,0.367796719
RTr_Bl4_10,7.3,0.661119401,0.338880628
RTr_Bl4_10,7.4,0.640663505,0.359336495
RTr_Bl4_10,7.5,0.663467944,0.336532056
RTr_Bl4_10,7.6,0.643852174,0.356147826
RTr_Bl4_10,7.7,0.632146657,0.367853284
RTr_Bl4_10,7.8,0.642644644,0.357355297
RTr_Bl4_10,7.9,0.637532234,0.362467855
RTr_Bl4_10,8,0.646191835,0.353808105
RTr_Bl4_10,8.1,0.64999342,0.35000664
RTr_Bl4_10,8.2,0.682697296,0.317302704
RTr_Bl4_10,8.3,0.668518305,0.331481695
RTr_Bl4_10,8.4,0.662490785,0.337509274
RTr_Bl4_10,8.5,0.63793689,0.36206311
RTr_Bl4_10,8.6,0.624235332,0.375764638
RTr_Bl4_10,8.7,0.615591109,0.384408921
RTr_Bl4_10,8.8,0.633642316,0.366357714
RTr_Bl4_10,8.9,0.701880455,0.298119485
RTr_Bl4_10,9,0.728888869,0.271111131
RTr_Bl4_10,9.1,0.771978557,0.228021458
RTr_Bl4_10,9.2,0.780381083,0.219618887
RTr_Bl4_10,9.3,0.793505251,0.206494749
RTr_Bl4_10,9.4,0.799052536,0.200947464
RTr_Bl4_10,9.5,0.80117029,0.198829681
RTr_Bl4_10,9.6,0.830089927,0.169910088
RTr_Bl4_10,9.7,0.854018867,0.145981133
