WID,Trial,TrialBase,ContainmentType,ContainmentLevel,TrialNum,GoalReachable,MotionDirection,Response,RT,TrialOrder,WasBad
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,stopper_3_a,stopper_3,stopper,a,3,False,Rev,False,0.203,22,False
A140QSCUDO8CPW:3MD9PLUKKJYUHS2VFZ69EBIPS5UZNB,size_1_c,size_1,size,c,1,True,Fwd,True,0.507,23,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,porous_1_a,porous_1,porous,a,1,True,None,,-1.0,0,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,size_2_c,size_2,size,c,2,False,Fwd,False,1.466,1,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,complex_5_b,complex_5,complex,b,5,True,Fwd,False,2.127,2,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,porous_6_a,porous_6,porous,a,6,False,Fwd,True,1.702,3,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,porous_3_a,porous_3,porous,a,3,False,None,True,2.199,4,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,size_3_c,size_3,size,c,3,True,Rev,,-1.0,5,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,size_6_c,size_6,size,c,6,False,None,,-1.0,6,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,size_5_c,size_5,size,c,5,True,None,,-1.0,7,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,complex_3_b,complex_3,complex,b,3,True,Rev,False,1.136,8,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,porous_4_a,porous_4,porous,a,4,False,Fwd,,-1.0,9,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,complex_1_b,complex_1,complex,b,1,False,None,False,1.977,10,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,stopper_6_a,stopper_6,stopper,a,6,False,Rev,False,1.111,11,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,stopper_2_a,stopper_2,stopper,a,2,False,Rev,False,1.236,12,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,porous_5_a,porous_5,porous,a,5,True,Fwd,True,1.559,13,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,complex_6_b,complex_6,complex,b,6,True,Fwd,False,1.798,14,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,stopper_4_a,stopper_4,stopper,a,4,True,Fwd,True,1.085,15,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,complex_2_b,complex_2,complex,b,2,False,Rev,False,1.257,16,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,size_4_c,size_4,size,c,4,False,Fwd,False,1.025,17,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,complex_4_b,complex_4,complex,b,4,True,None,True,1.154,18,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,stopper_3_a,stopper_3,stopper,a,3,False,None,False,1.035,19,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,porous_2_a,porous_2,porous,a,2,True,None,True,0.878,20,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,stopper_5_a,stopper_5,stopper,a,5,True,Rev,True,0.47,21,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,size_1_c,size_1,size,c,1,True,Rev,True,1.042,22,False
A14CPQKP46VJQK:3V0Z7YWSIZKHJM8SSJJM1H2VTZW2VM,stopper_1_a,stopper_1,stopper,a,1,False,Rev,False,1.004,23,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,size_3_c,size_3,size,c,3,False,None,False,0.177,0,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,size_6_c,size_6,size,c,6,True,Rev,True,0.342,1,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,size_4_c,size_4,size,c,4,True,None,True,0.013,2,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,stopper_4_a,stopper_4,stopper,a,4,False,Rev,True,0.299,3,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,stopper_5_a,stopper_5,stopper,a,5,False,None,True,0.169,4,False
A1727A5VJOZAMR:3I02618YA1QDYEKYPRKT1885Q2GPU8,stopper_3_a,stopper_3,stopper,a,3,True,Rev,True,0.125,5,False
